date,service,gross sales,net sales,discount,fee,channel
2024-01-05,Lash Extensions,150.00,135.00,0.00,15.00,Online
2024-01-06,Eyebrow Tint,45.00,40.50,0.00,4.50,Walk-in
2024-01-08,Lash Extensions,150.00,135.00,0.00,15.00,Fresha
2024-01-09,Lash Lift,65.00,58.50,0.00,6.50,Online
2024-01-10,Eyebrow Tint,45.00,40.50,0.00,4.50,Walk-in
2024-01-12,Lash Extensions,150.00,135.00,0.00,15.00,Online
2024-01-13,Aftercare Serum,25.00,22.50,0.00,2.50,Online
2024-01-15,Lash Extensions,150.00,135.00,0.00,15.00,Fresha
2024-01-16,Eyebrow Tint,45.00,40.50,0.00,4.50,Walk-in
2024-01-17,Lash Lift,65.00,58.50,0.00,6.50,Online
2024-01-19,Lash Extensions,150.00,135.00,0.00,15.00,Online
2024-01-20,Eyebrow Design,55.00,49.50,0.00,5.50,Fresha
2024-01-22,Lash Extensions,150.00,135.00,0.00,15.00,Online
2024-01-23,Lash Lift,65.00,58.50,0.00,6.50,Walk-in
2024-01-24,Aftercare Serum,25.00,22.50,0.00,2.50,Online
2024-01-26,Lash Extensions,150.00,135.00,0.00,15.00,Fresha
2024-01-27,Eyebrow Tint,45.00,40.50,0.00,4.50,Online
2024-01-29,Lash Extensions,150.00,135.00,0.00,15.00,Online
2024-01-30,Lash Lift,65.00,58.50,0.00,6.50,Walk-in
2024-02-02,Lash Extensions,150.00,135.00,0.00,15.00,Online
2024-02-03,Eyebrow Tint,45.00,40.50,0.00,4.50,Fresha
2024-02-05,Lash Extensions,150.00,135.00,0.00,15.00,Online
2024-02-06,Aftercare Serum,25.00,22.50,0.00,2.50,Walk-in
2024-02-08,Lash Lift,65.00,58.50,0.00,6.50,Online
2024-02-09,Lash Extensions,150.00,135.00,0.00,15.00,Fresha
2024-02-12,Eyebrow Design,55.00,49.50,0.00,5.50,Online
2024-02-13,Lash Extensions,150.00,135.00,0.00,15.00,Online
2024-02-15,Lash Lift,65.00,58.50,0.00,6.50,Walk-in
2024-02-16,Eyebrow Tint,45.00,40.50,0.00,4.50,Online
