date,description,amount
2024-01-03,Fresha Platform Fee,45.00
2024-01-05,ESB Electric Bill,120.00
2024-01-08,Lash Supplies Wholesale,280.00
2024-01-10,Stripe Processing Fee,32.50
2024-01-12,Instagram Ads Campaign,50.00
2024-01-15,Eir Broadband,60.00
2024-01-18,Beauty Training Course,150.00
2024-01-20,Salon Insurance Premium,85.00
2024-01-22,Tesco Groceries and Supplies,45.30
2024-01-25,Transport - Fuel,35.00
2024-01-28,Adobe Creative Suite Subscription,54.99
2024-02-02,Fresha Platform Fee,42.00
2024-02-05,ESB Electric Bill,125.00
2024-02-08,Lash Supplies Wholesale,300.00
2024-02-10,Stripe Processing Fee,38.75
2024-02-12,Instagram Ads Campaign,50.00
2024-02-15,Eir Broadband,60.00
2024-02-18,Coffee and Lunch Expenses,28.50
2024-02-20,Salon Insurance Premium,85.00
2024-02-22,Lidl Supplies,32.80
2024-02-25,Transport - Parking,15.00
2024-02-28,Adobe Creative Suite Subscription,54.99
